L			V_Ratio		Volume		Surface		Surface/Volume
45.91   	0.00154 	2359    	4.28e+004	20.79   
49.79   	0.001067	2428    	4.424e+004	20.88   
53.99   	0.0005823	2472    	4.517e+004	20.87   
57.03   	0.000285	2497    	4.567e+004	20.71   
L			V_Ratio		Volume		Surface		Surface/Volume
0.1147  	1.48    	58.64   	796.3   	13.58   
5.992   	0.1956  	300.6   	3425    	10.87   
9.953   	0.07419 	524.9   	6704    	14.61   
13.87   	0.04725 	788     	1.129e+004	17.43   
17.69   	0.03357 	1083    	1.699e+004	19.32   
21.88   	0.02981 	1475    	2.471e+004	19.67   
25.79   	0.01673 	1777    	3.092e+004	20.6    
30      	0.01097 	2043    	3.633e+004	20.37   
32.81   	0.006241	2222    	3.989e+004	19.87   
36.08   	0.003496	2343    	4.239e+004	20.74   
40.8    	0.002083	2434    	4.427e+004	20.51   
45.88   	0.001702	2528    	4.622e+004	20.77   
49.74   	0.001249	2609    	4.789e+004	20.66   
53.99   	0.0007491	2666    	4.907e+004	20.72   
57.03   	0.0002725	2689    	4.955e+004	20.64   
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.7    	682.8   	806.3   	1.181   
5.513   	0.1767  	872.6   	1850    	5.498   
8.102   	0.09346 	1068    	4161    	11.83   
13.56   	0.0458  	1312    	7320    	12.92   
17.65   	0.02932 	1569    	1.13e+004	15.52   
21.61   	0.01676 	1784    	1.465e+004	15.56   
25.97   	0.01088 	1983    	1.831e+004	18.37   
29.86   	0.005301	2110    	2.08e+004	19.59   
33.2    	0.002435	2182    	2.23e+004	21.02   
37.73   	0.0008849	2215    	2.3e+004	21.02   
40.68   	0.0002914	2228    	2.327e+004	20.84   
45.47   	7.628e-005	2232    	2.335e+004	20.6    
L			V_Ratio		Volume		Surface		Surface/Volume
0.09653 	1.47    	56.74   	753.9   	13.29   
5.992   	0.1937  	296.3   	3337    	10.78   
9.868   	0.07858 	530.2   	6799    	14.8    
13.86   	0.04964 	806.2   	1.166e+004	17.63   
17.79   	0.0342  	1110    	1.758e+004	19.49   
21.81   	0.03112 	1517    	2.56e+004	19.69   
25.92   	0.01866 	1857    	3.258e+004	20.51   
28.29   	0.01254 	2128    	3.811e+004	20.45   
33.8    	0.007075	2343    	4.241e+004	19.95   
37.29   	0.003993	2490    	4.545e+004	20.68   
41.24   	0.002505	2603    	4.776e+004	20.58   
45.85   	0.001882	2707    	4.991e+004	20.71   
49.97   	0.00133 	2793    	5.17e+004	20.62   
53.92   	0.0008028	2854    	5.296e+004	20.73   
57.91   	0.0003733	2887    	5.364e+004	20.77   
61.08   	0.0001328	2900    	5.391e+004	20.83   
64.01   	9.734e-006	2901    	5.393e+004	19.44   
L			V_Ratio		Volume		Surface		Surface/Volume
0.09653 	1.562   	60.29   	829.5   	13.76   
5.99    	0.2035  	311.9   	3661    	11.25   
9.82    	0.08298 	556.8   	7348    	15.06   
13.88   	0.0513  	842.5   	1.239e+004	17.63   
