L			V_Ratio		Volume		Surface		Surface/Volume
0.09986 	18.06   	700.4   	1143    	1.632   
5.97    	0.191   	935.3   	3087    	8.28    
9.053   	0.1353  	1280    	8410    	15.44   
13.78   	0.08526 	1749    	1.612e+004	16.43   
17.94   	0.06634 	2347    	2.7e+004	18.19   
21.77   	0.04633 	2952    	3.82e+004	18.53   
25.71   	0.03273 	3539    	4.973e+004	19.63   
29.99   	0.02007 	4024    	5.942e+004	20.01   
33.75   	0.01082 	4352    	6.613e+004	20.42   
37.55   	0.005537	4559    	7.036e+004	20.46   
41.44   	0.002344	4665    	7.252e+004	20.39   
44.97   	0.000656	4700    	7.323e+004	20.37   
49.89   	0.0001789	4711    	7.347e+004	20.24   
L			V_Ratio		Volume		Surface		Surface/Volume
0.09986 	17.82   	691.1   	961.6   	1.391   
5.922   	0.1767  	905.5   	2506    	7.207   
8.956   	0.1136  	1189    	6626    	14.51   
13.79   	0.06732 	1560    	1.238e+004	15.52   
17.96   	0.052   	2030    	2.073e+004	17.76   
21.74   	0.03558 	2493    	2.916e+004	18.21   
25.93   	0.02414 	2934    	3.78e+004	19.62   
29.93   	0.01508 	3296    	4.513e+004	20.19   
33.98   	0.007614	3531    	4.997e+004	20.68   
37.49   	0.003998	3679    	5.306e+004	20.74   
41.36   	0.001777	3760    	5.472e+004	20.7    
44.9    	0.000447	3783    	5.521e+004	20.79   
49.74   	0.0001206	3791    	5.537e+004	20.43   
L			V_Ratio		Volume		Surface		Surface/Volume
0.09986 	17.71   	686.9   	879.6   	1.28    
5.95    	0.1636  	887     	2149    	6.346   
9.028   	0.09054 	1117    	5214    	13.35   
13.75   	0.05334 	1409    	9452    	14.52   
17.88   	0.0384  	1753    	1.535e+004	17.13   
21.75   	0.02505 	2079    	2.112e+004	17.7    
25.97   	0.01699 	2390    	2.722e+004	19.63   
29.71   	0.009905	2624    	3.205e+004	20.57   
33.78   	0.005202	2783    	3.543e+004	21.36   
37.6    	0.002682	2883    	3.758e+004	21.33   
41.37   	0.001146	2935    	3.868e+004	21.3    
44.99   	0.0003249	2952    	3.905e+004	21.42   
49.83   	6.749e-005	2956    	3.914e+004	21.75   
L			V_Ratio		Volume		Surface		Surface/Volume
0.09986 	17.62   	683.2   	803.1   	1.176   
5.987   	0.1515  	870.4   	1819    	5.424   
9.072   	0.07116 	1052    	3943    	11.67   
13.77   	0.04129 	1279    	6889    	13      
17.93   	0.02757 	1527    	1.089e+004	16.12   
21.75   	0.01761 	1757    	1.474e+004	16.78   
25.97   	0.01106 	1959    	1.871e+004	19.61   
29.94   	0.006357	2112    	2.192e+004	20.99   
33.71   	0.00326 	2211    	2.412e+004	22.32   
37.54   	0.001622	2271    	2.548e+004	22.39   
41.45   	0.0006862	2302    	2.617e+004	22.28   
45.02   	0.000193	2313    	2.64e+004	22.32   
49.87   	3.911e-005	2315    	2.646e+004	22.57   
L			V_Ratio		Volume		Surface		Surface/Volume
0.09986 	17.65   	684.3   	828.1   	1.21    
5.989   	0.1577  	879.2   	1994    	5.982   
9.092   	0.08112 	1088    	4645    	12.72   
13.8    	0.04763 	1350    	8295    	13.91   
17.93   	0.0335  	1652    	1.337e+004	16.8    
21.75   	0.02225 	1942    	1.842e+004	17.45   
25.93   	0.01468 	2209    	2.369e+004	19.66   
29.92   	0.008337	2410    	2.783e+004	20.7    
33.98   	0.004275	2541    	3.069e+004	21.73   
37.49   	0.002343	2629    	3.258e+004	21.63   
41.41   	0.0009564	2672    	3.352e+004	21.73   
44.89   	0.0002514	2685    	3.381e+004	22.05   
49.9    	6.386e-005	2689    	3.39e+004	21.43   
L			V_Ratio		Volume		Surface		Surface/Volume
0.09986 	17.91   	694.4   	1024    	1.474   
5.976   	0.174   	908.7   	2566    	7.202   
9.047   	0.1089  	1186    	6568    	14.43   
13.75   	0.06849 	1561    	1.241e+004	15.59   
17.87   	0.05194 	2026    	2.065e+004	17.71   
21.74   	0.0357  	2491    	2.911e+004	18.23   
25.97   	0.02424 	2934    	3.78e+004	19.6    
29.98   	0.01477 	3290    	4.497e+004	20.14   
33.75   	0.008249	3540    	5.014e+004	20.61   
37.54   	0.004115	3694    	5.332e+004	20.71   
41.44   	0.001814	3776    	5.501e+004	20.65   
44.91   	0.0004695	3801    	5.553e+004	20.64   
49.84   	0.0001318	3810    	5.57e+004	20.36   
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.7    	682.8   	806.3   	1.181   
5.513   	0.1767  	872.6   	1850    	5.498   
8.102   	0.09346 	1068    	4161    	11.83   
13.56   	0.0458  	1312    	7320    	12.92   
17.65   	0.02932 	1569    	1.13e+004	15.52   
21.61   	0.01676 	1784    	1.465e+004	15.56   
25.97   	0.01088 	1983    	1.831e+004	18.37   
29.86   	0.005301	2110    	2.08e+004	19.59   
33.2    	0.002435	2182    	2.23e+004	21.02   
37.73   	0.0008849	2215    	2.3e+004	21.02   
40.68   	0.0002914	2228    	2.327e+004	20.84   
45.47   	7.628e-005	2232    	2.335e+004	20.6    
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.7    	682.8   	806.3   	1.181   
5.513   	0.1767  	872.6   	1850    	5.498   
8.102   	0.09346 	1068    	4161    	11.83   
13.56   	0.0458  	1312    	7320    	12.92   
17.65   	0.02932 	1569    	1.13e+004	15.52   
21.61   	0.01676 	1784    	1.465e+004	15.56   
25.97   	0.01088 	1983    	1.831e+004	18.37   
29.86   	0.005301	2110    	2.08e+004	19.59   
33.2    	0.002435	2182    	2.23e+004	21.02   
37.73   	0.0008849	2215    	2.3e+004	21.02   
40.68   	0.0002914	2228    	2.327e+004	20.84   
45.47   	7.628e-005	2232    	2.335e+004	20.6    
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.7    	682.8   	806.3   	1.181   
5.513   	0.1767  	872.6   	1850    	5.498   
8.102   	0.09346 	1068    	4161    	11.83   
13.56   	0.0458  	1312    	7320    	12.92   
17.65   	0.02932 	1569    	1.13e+004	15.52   
21.61   	0.01676 	1784    	1.465e+004	15.56   
25.97   	0.01088 	1983    	1.831e+004	18.37   
29.86   	0.005301	2110    	2.08e+004	19.59   
33.2    	0.002435	2182    	2.23e+004	21.02   
37.73   	0.0008849	2215    	2.3e+004	21.02   
40.68   	0.0002914	2228    	2.327e+004	20.84   
45.47   	7.628e-005	2232    	2.335e+004	20.6    
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.7    	682.8   	806.3   	1.181   
5.513   	0.1767  	872.6   	1850    	5.498   
8.102   	0.09346 	1068    	4161    	11.83   
13.56   	0.0458  	1312    	7320    	12.92   
17.65   	0.02932 	1569    	1.13e+004	15.52   
21.61   	0.01676 	1784    	1.465e+004	15.56   
25.97   	0.01088 	1983    	1.831e+004	18.37   
29.86   	0.005301	2110    	2.08e+004	19.59   
33.2    	0.002435	2182    	2.23e+004	21.02   
37.73   	0.0008849	2215    	2.3e+004	21.02   
40.68   	0.0002914	2228    	2.327e+004	20.84   
45.47   	7.628e-005	2232    	2.335e+004	20.6    
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.7    	682.8   	806.3   	1.181   
5.513   	0.1767  	872.6   	1850    	5.498   
8.102   	0.09346 	1068    	4161    	11.83   
13.56   	0.0458  	1312    	7320    	12.92   
17.65   	0.02932 	1569    	1.13e+004	15.52   
21.61   	0.01676 	1784    	1.465e+004	15.56   
25.97   	0.01088 	1983    	1.831e+004	18.37   
29.86   	0.005301	2110    	2.08e+004	19.59   
33.2    	0.002435	2182    	2.23e+004	21.02   
37.73   	0.0008849	2215    	2.3e+004	21.02   
40.68   	0.0002914	2228    	2.327e+004	20.84   
45.47   	7.628e-005	2232    	2.335e+004	20.6    
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.7    	682.8   	806.3   	1.181   
5.513   	0.1767  	872.6   	1850    	5.498   
8.102   	0.09346 	1068    	4161    	11.83   
13.56   	0.0458  	1312    	7320    	12.92   
17.65   	0.02932 	1569    	1.13e+004	15.52   
21.61   	0.01676 	1784    	1.465e+004	15.56   
25.97   	0.01088 	1983    	1.831e+004	18.37   
29.86   	0.005301	2110    	2.08e+004	19.59   
33.2    	0.002435	2182    	2.23e+004	21.02   
37.73   	0.0008849	2215    	2.3e+004	21.02   
40.68   	0.0002914	2228    	2.327e+004	20.84   
45.47   	7.628e-005	2232    	2.335e+004	20.6    
L			V_Ratio		Volume		Surface		Surface/Volume
0.2306  	14.69   	682.4   	795.1   	1.165   
5.518   	0.1779  	873.8   	1867    	5.599   
8.117   	0.08983 	1062    	4034    	11.5    
13.59   	0.04539 	1306    	7178    	12.92   
17.69   	0.03041 	1573    	1.138e+004	15.72   
21.61   	0.017   	1791    	1.479e+004	15.63   
25.96   	0.01035 	1980    	1.825e+004	18.26   
29.83   	0.005237	2106    	2.068e+004	19.47   
33.17   	0.002603	2182    	2.228e+004	20.89   
37.69   	0.001088	2223    	2.314e+004	20.94   
40.7    	0.0002605	2234    	2.338e+004	20.99   
45.99   	5.948e-005	2238    	2.344e+004	20.84   
